seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	77747340	77747348	9	*	X0026	26289	77747662	78025654	277993	+	313	upstream	313	AK5
chr1	112532828	112532842	15	*	X0031	3752	112318454	112531777	213324	-	1050	upstream	1050	KCND3
chr1	112532828	112532842	15	*	X0031	643355	112533190	112541463	8274	+	347	upstream	347	LINC01750
chr1	112532845	112532853	9	*	X0032	3752	112318454	112531777	213324	-	1067	upstream	1067	KCND3
chr1	112532845	112532853	9	*	X0032	643355	112533190	112541463	8274	+	336	upstream	336	LINC01750
chr1	112532862	112532871	10	*	X0033	3752	112318454	112531777	213324	-	1084	upstream	1084	KCND3
chr1	112532862	112532871	10	*	X0033	643355	112533190	112541463	8274	+	318	upstream	318	LINC01750
chr1	112532978	112532986	9	*	X0034	3752	112318454	112531777	213324	-	1200	upstream	1200	KCND3
chr1	112532978	112532986	9	*	X0034	643355	112533190	112541463	8274	+	203	upstream	203	LINC01750
chr1	112533126	112533139	14	*	X0035	3752	112318454	112531777	213324	-	1348	upstream	1348	KCND3
chr1	112533126	112533139	14	*	X0035	643355	112533190	112541463	8274	+	50	upstream	50	LINC01750
chr1	116383713	116383721	9	*	X0036	4808	116378999	116383747	4749	-	0	inside	25	NHLH2
chr1	153651295	153651307	13	*	X0037	4881	153651164	153666468	15305	+	0	inside	130	NPR1
chr1	156830262	156830270	9	*	X0039	3645	156810665	156828712	18048	-	1549	upstream	1549	INSRR
chr1	166944275	166944289	15	*	X0041	387597	166882441	166944561	62121	-	0	inside	271	ILDR2
chr1	166944275	166944289	15	*	X0041	84944	166944819	166991447	46629	+	529	upstream	529	MAEL
chr1	166944304	166944312	9	*	X0042	387597	166882441	166944561	62121	-	0	inside	248	ILDR2
chr1	166944304	166944312	9	*	X0042	84944	166944819	166991447	46629	+	506	upstream	506	MAEL
chr1	173178393	173178401	9	*	X0047	7292	173152870	173176471	23602	-	1921	upstream	1921	TNFSF4
chr1	177139531	177139537	7	*	X0048	57795	177140633	177251558	110926	+	1095	upstream	1095	BRINP2
chr1	180197614	180197623	10	*	X0050	89884	180199433	180244188	44756	+	1809	upstream	1809	LHX4
chr1	180198349	180198357	9	*	X0051	89884	180199433	180244188	44756	+	1075	upstream	1075	LHX4
chr1	182757079	182757095	17	*	X0052	80896	182758584	182799519	40936	+	1488	upstream	1488	NPL
chr1	184944019	184944028	10	*	X0053	116496	184760159	184943718	183560	-	300	upstream	300	NIBAN1
chr1	184944031	184944041	11	*	X0054	116496	184760159	184943718	183560	-	312	upstream	312	NIBAN1
