seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	71513563	71513641	79	*	X011	5733	71318036	71513491	195456	-	71	upstream	71	PTGER3
chr1	86622258	86622442	185	*	X012	255631	86194916	86622446	427531	-	0	inside	3	COL24A1
chr1	109656602	109656795	194	*	X013	127003	109648573	109656479	7907	-	122	upstream	122	C1orf194
chr1	109656602	109656795	194	*	X013	57535	109656585	109749403	92819	+	0	inside	16	ELAPOR1
chr1	109656813	109656876	64	*	X014	127003	109648573	109656479	7907	-	333	upstream	333	C1orf194
chr1	109656813	109656876	64	*	X014	57535	109656585	109749403	92819	+	0	inside	227	ELAPOR1
chr1	160039779	160039799	21	*	X017	3766	160007257	160040051	32795	-	0	inside	251	KCNJ10
chr1	166945129	166945153	25	*	X020	387597	166882441	166944561	62121	-	567	upstream	567	ILDR2
chr1	224803676	224803692	17	*	X026	149111	224804179	224928249	124071	+	486	upstream	486	CNIH3
chr10	25464163	25464219	57	*	X030	57512	25464290	25891157	426868	+	70	upstream	70	GPR158
chr10	90967566	90967625	60	*	X033	9023	90965694	90967071	1378	-	494	upstream	494	CH25H
chr10	94831858	94831883	26	*	X034	1592	94833232	94837641	4410	+	1348	upstream	1348	CYP26A1
chr11	13983998	13984100	103	*	X044	10418	13984184	14289679	305496	+	83	upstream	83	SPON1
chr11	65553760	65553854	95	*	X046	5017	65554505	65564690	10186	+	650	upstream	650	OVOL1
chr11	75141597	75141799	203	*	X048	283212	75133438	75141674	8237	-	0	overlapStart	0	KLHL35
chr11	106889388	106889510	123	*	X049	2977	106544738	106889171	344434	-	216	upstream	216	GUCY1A2
chr11	106889961	106890035	75	*	X050	2977	106544738	106889171	344434	-	789	upstream	789	GUCY1A2
chr11	107461735	107461779	45	*	X051	55531	107461817	107537505	75689	+	37	upstream	37	ELMOD1
chr11	107461735	107461779	45	*	X051	643923	107462471	107463949	1479	+	691	upstream	691	NA
chr11	107462107	107462117	11	*	X052	55531	107461817	107537505	75689	+	0	inside	289	ELMOD1
chr11	107462107	107462117	11	*	X052	643923	107462471	107463949	1479	+	353	upstream	353	NA
chr11	129245358	129245420	63	*	X057	8538	129245881	129322174	76294	+	460	upstream	460	BARX2
chr12	49932004	49932047	44	*	X058	23416	49932940	49952077	19138	+	892	upstream	892	KCNH3
chr12	54332174	54332179	6	*	X059	3229	54332576	54340328	7753	+	396	upstream	396	HOXC13
chr12	54332200	54332220	21	*	X060	3229	54332576	54340328	7753	+	355	upstream	355	HOXC13
chr12	54332272	54332312	41	*	X061	3229	54332576	54340328	7753	+	263	upstream	263	HOXC13
chr13	28543281	28543336	56	*	X067	1045	28536205	28543505	7301	-	0	inside	168	CDX2
chr13	28543370	28543408	39	*	X068	1045	28536205	28543505	7301	-	0	inside	96	CDX2
chr13	96742302	96742346	45	*	X069	266722	96743093	97491816	748724	+	746	upstream	746	HS6ST3
chr14	25519012	25519132	121	*	X070	29091	25281306	25519171	237866	-	0	inside	38	STXBP6
chr14	69950610	69950707	98	*	X077	400224	69951471	69995215	43745	+	763	upstream	763	PLEKHD1
